"kn","number.cluster","silhouette.score","calinski.harabasz","davies.bouldin"
300,18,-0.00610240333918326,68.4892051941944,6.9491520205621
200,21,0.014637756376606,310.075551747188,7.61771475633143
100,25,0.017468782045358,706.512803062183,6.39825548189986
